participant_id,date,total_sleep_records,total_minutes_asleep,total_time_in_bed,sleep_efficiency,sleep_hours
1503960366,2016-04-12,1,327,346,94.51,5.45
1503960366,2016-04-13,2,384,407,94.35,6.4
1503960366,2016-04-15,1,412,442,93.21,6.87
1503960366,2016-04-16,2,340,367,92.64,5.67
1503960366,2016-04-17,1,700,712,98.31,11.67
1503960366,2016-04-19,1,304,320,95.0,5.07
1503960366,2016-04-20,1,360,377,95.49,6.0
1503960366,2016-04-21,1,325,364,89.29,5.42
1503960366,2016-04-23,1,361,384,94.01,6.02
1503960366,2016-04-24,1,430,449,95.77,7.17
1503960366,2016-04-25,1,277,323,85.76,4.62
1503960366,2016-04-26,1,245,274,89.42,4.08
1503960366,2016-04-28,1,366,393,93.13,6.1
1503960366,2016-04-29,1,341,354,96.33,5.68
1503960366,2016-04-30,1,404,425,95.06,6.73
1503960366,2016-05-01,1,369,396,93.18,6.15
1503960366,2016-05-02,1,277,309,89.64,4.62
1503960366,2016-05-03,1,273,296,92.23,4.55
1503960366,2016-05-05,1,247,264,93.56,4.12
1503960366,2016-05-06,1,334,367,91.01,5.57
1503960366,2016-05-07,1,331,349,94.84,5.52
1503960366,2016-05-08,1,594,611,97.22,9.9
1503960366,2016-05-09,1,338,342,98.83,5.63
1503960366,2016-05-10,1,383,403,95.04,6.38
1503960366,2016-05-11,1,285,306,93.14,4.75
1644430081,2016-04-29,1,119,127,93.7,1.98
1644430081,2016-04-30,1,124,142,87.32,2.07
1644430081,2016-05-02,1,796,961,82.83,13.27
1644430081,2016-05-08,1,137,154,88.96,2.28
1844505072,2016-04-15,1,644,961,67.01,10.73
1844505072,2016-04-30,1,722,961,75.13,12.03
1844505072,2016-05-01,1,590,961,61.39,9.83
1927972279,2016-04-12,3,750,775,96.77,12.5
1927972279,2016-04-13,1,398,422,94.31,6.63
1927972279,2016-04-15,2,475,499,95.19,7.92
1927972279,2016-04-26,1,296,315,93.97,4.93
1927972279,2016-04-28,1,166,178,93.26,2.77
2026352035,2016-04-12,1,503,546,92.12,8.38
2026352035,2016-04-13,1,531,565,93.98,8.85
2026352035,2016-04-14,1,545,568,95.95,9.08
2026352035,2016-04-15,1,523,573,91.27,8.72
2026352035,2016-04-16,1,524,567,92.42,8.73
2026352035,2016-04-17,1,437,498,87.75,7.28
2026352035,2016-04-19,1,498,540,92.22,8.3
2026352035,2016-04-20,1,461,510,90.39,7.68
2026352035,2016-04-21,1,477,514,92.8,7.95
2026352035,2016-04-22,1,520,545,95.41,8.67
2026352035,2016-04-23,1,522,554,94.22,8.7
2026352035,2016-04-24,1,555,591,93.91,9.25
2026352035,2016-04-25,1,506,531,95.29,8.43
2026352035,2016-04-27,1,508,545,93.21,8.47
2026352035,2016-04-28,1,513,545,94.13,8.55
2026352035,2016-04-29,1,490,510,96.08,8.17
2026352035,2016-04-30,1,573,607,94.4,9.55
2026352035,2016-05-01,1,527,546,96.52,8.78
2026352035,2016-05-02,1,511,543,94.11,8.52
2026352035,2016-05-04,1,538,560,96.07,8.97
2026352035,2016-05-05,1,468,485,96.49,7.8
2026352035,2016-05-06,1,524,548,95.62,8.73
2026352035,2016-05-07,1,511,521,98.08,8.52
2026352035,2016-05-08,1,541,568,95.25,9.02
2026352035,2016-05-09,1,531,556,95.5,8.85
2026352035,2016-05-10,1,357,380,93.95,5.95
2026352035,2016-05-11,1,523,553,94.58,8.72
2026352035,2016-05-12,1,456,485,94.02,7.6
2320127002,2016-04-23,1,61,69,88.41,1.02
2347167796,2016-04-13,1,467,531,87.95,7.78
2347167796,2016-04-14,1,445,489,91.0,7.42
2347167796,2016-04-15,1,452,504,89.68,7.53
2347167796,2016-04-17,1,556,602,92.36,9.27
2347167796,2016-04-18,1,500,557,89.77,8.33
2347167796,2016-04-19,1,465,514,90.47,7.75
2347167796,2016-04-21,1,460,484,95.04,7.67
2347167796,2016-04-22,1,405,461,87.85,6.75
2347167796,2016-04-23,1,374,386,96.89,6.23
2347167796,2016-04-24,1,442,459,96.3,7.37
2347167796,2016-04-25,1,433,471,91.93,7.22
2347167796,2016-04-26,1,436,490,88.98,7.27
2347167796,2016-04-27,1,448,499,89.78,7.47
2347167796,2016-04-28,1,408,450,90.67,6.8
